id:INTEGER,publisher,genres,coop,name,timestamp:INTEGER,system,releaseDate,players,reviewRating,esrbRating,developer
48,Namco Bandai,Flight Simulator,No,Armored Core 5,1332201600,Microsoft Xbox 360,3/20/12,null,0 / 10,Teen,FromSoftware
49,Electronic Arts,"Action, Shooter",Yes,Army of Two,1204588800,Microsoft Xbox 360,3/4/08,2,10-Apr,Mature,EA Montreal
50,Electronic Arts,"Action, Shooter",Yes,Army of Two The 40th Day,1263254400,Microsoft Xbox 360,1/12/10,2,0 / 10,Mature,Electronic Arts Montreal
51,null,null,No,Army of Two The Devils Cartel,1364256000,Microsoft Xbox 360,3/26/13,null,0 / 10,null,null
52,Microsoft,Strategy,No,Ascend New Gods,1364774400,Microsoft Xbox 360,4/1/13,null,0 / 10,null,Signal Studios
53,null,null,No,Ashes Cricket 2009,1249603200,Microsoft Xbox 360,8/7/09,null,0 / 10,null,null
54,Ubisoft,"Action, Adventure, Stealth",No,Assassins Creed,1194912000,Microsoft Xbox 360,11/13/07,null,10-Jul,Mature,Ubisoft
55,Ubisoft,"Action, Adventure",No,Assassins Creed Anthology,1354233600,Microsoft Xbox 360,11/30/12,null,0 / 10,null,Ubisoft
56,Ubisoft,"Action, Adventure, Stealth",No,Assassins Creed II,1258416000,Microsoft Xbox 360,11/17/09,null,10-May,Mature,Ubisoft Montreal
57,Ubisoft,Action,No,Assassins Creed III,1351555200,Microsoft Xbox 360,10/30/12,null,0 / 10,null,Ubisoft Montreal
58,Ubisoft,"Action, Adventure",No,Assassins Creed III Liberation HD,1389744000,Microsoft Xbox 360,1/15/14,1,0 / 10,Mature,Ubisoft
59,UbiSoft,"Action, Adventure, Stealth",No,Assassins Creed IV Black Flag,1383004800,Microsoft Xbox 360,10/29/13,null,0 / 10,null,UbiSoft
60,Ubisoft,"Action, Adventure",No,Assassins Creed Revelations Collectors Edition,1321315200,Microsoft Xbox 360,11/15/11,null,0 / 10,null,Ubisoft Montreal
61,Ubisoft,"Action, Stealth",No,Assassins Creed Rogue,1415664000,Microsoft Xbox 360,11/11/14,1,0 / 10,null,Ubisoft Sofia
62,Ubisoft,"Action, Adventure, Sandbox, Stealth",No,Assassins Creed Brotherhood,1289865600,Microsoft Xbox 360,11/16/10,null,10-Sep,Mature,Ubisoft
63,Ubisoft,"Action, Adventure",No,Assassins Creed Revelations,1321315200,Microsoft Xbox 360,11/15/11,null,0 / 10,Mature,Ubisoft
64,null,"Action, Shooter",Yes,Assault Heroes,1165968000,Microsoft Xbox 360,12/13/06,2,0 / 10,null,null
65,null,"Action, Shooter",Yes,Assault Heroes 2,1210723200,Microsoft Xbox 360,5/14/08,2,0 / 10,null,null
66,Capcom,Action,No,Asuras Wrath,1329782400,Microsoft Xbox 360,2/21/12,1,0 / 10,Teen,Cyberconnect2
67,null,"Racing, Sports",No,Autobahn Polizei,1272931200,Microsoft Xbox 360,5/4/10,4,0 / 10,Teen,null
68,THQ,"Action, Adventure",No,Avatar The Last Airbender â€“ The Burning Earth,1194825600,Microsoft Xbox 360,11/12/07,1,0 / 10,Everyone 10+,THQ
69,505 Games,Sports,No,Backbreaker,1275350400,Microsoft Xbox 360,6/1/10,2,0 / 10,Everyone,Natural Motion
70,null,Sports,No,Backyard Sports Football Rookie Rush,1288051200,Microsoft Xbox 360,10/26/10,null,0 / 10,Everyone,Atari
71,null,Sports,Yes,Backyard Sports Sandlot Sluggers,1274745600,Microsoft Xbox 360,5/25/10,4,0 / 10,Everyone,null
72,null,null,No,Baja Edge of Control,1222041600,Microsoft Xbox 360,9/22/08,null,0 / 10,Everyone,null
