date,local_time,latitude,longitude,location,magnitude_ml,epicentre
2015-05-03,22:39:00,28.05,84.94,POINT(84.94 28.05),4,Dhading
2015-05-03,20:27:00,28.09,85.72,POINT(85.72 28.09),4.2,Sindhupalchowk
2015-05-03,18:58:00,27.89,85.73,POINT(85.73 27.89),4,Sindhupalchowk
2015-05-03,17:20:00,27.8,85.11,POINT(85.11 27.8),4.9,Nuwakot
2015-05-03,10:46:00,27.94,84.83,POINT(84.83 27.94),4.5,Dhading
2015-05-03,08:00:00,27.98,84.87,POINT(84.87 27.98),4.1,Dhading
2015-05-03,05:47:00,28.08,85.04,POINT(85.04 28.08),4,Gorkha
2015-05-03,03:29:00,27.69,85.93,POINT(85.93 27.69),4.5,Sindhupalchowk
2015-05-27,22:29:00,28.04,85.13,POINT(85.13 28.04),4.2,Rasuwa/Nuwakot
2015-05-02,21:01:00,27.66,86.01,POINT(86.01 27.66),4.1,Dolakha
2015-05-02,11:20:00,28.24,84.76,POINT(84.76 28.24),5.1,Gorkha
2015-05-02,11:13:00,27.72,85.74,POINT(85.74 27.72),4,Sindhupalchowk
2015-05-02,09:32:00,27.93,85.5,POINT(85.5 27.93),4.2,Sindhupalchowk
2015-05-02,05:55:00,27.74,86.28,POINT(86.28 27.74),4.3,Dolakha
2015-05-02,03:55:00,27.95,85.73,POINT(85.73 27.95),4.2,Sindhupalchowk
2015-05-01,23:59:00,28.04,85.32,POINT(85.32 28.04),4,Rasuwa
2015-05-01,20:27:00,27.88,85.87,POINT(85.87 27.88),4.2,Sindhupalchowk
2015-05-01,17:37:00,27.74,85.99,POINT(85.99 27.74),4,Dolakha
2015-05-01,11:28:00,28.04,85.33,POINT(85.33 28.04),4.5,Rasuwa
2015-05-27,13:16:00,27.89,85.53,POINT(85.53 27.89),4.6,Sindhupalchowk
2015-05-01,10:35:00,27.75,85.95,POINT(85.95 27.75),4,Sindhupalchowk
2015-05-01,02:56:00,27.68,85.3,POINT(85.3 27.68),4,Kathmandu
2015-05-01,00:58:00,27.7,85.98,POINT(85.98 27.7),4.2,Sindhupalchowk/Dolakha
2015-04-30,23:19:00,27.92,85.87,POINT(85.87 27.92),4.3,Sindhupalchowk
2015-04-30,13:29:00,27.65,86.09,POINT(86.09 27.65),4.1,Dolakha
2015-04-30,08:31:00,28.05,85.34,POINT(85.34 28.05),4.7,Rasuwa
2015-04-30,06:22:00,27.93,84.83,POINT(84.83 27.93),4.7,Dhading
2015-04-29,23:01:00,28.19,84.8,POINT(84.8 28.19),4.4,Gorkha
2015-04-29,17:12:00,27.95,85.52,POINT(85.52 27.95),4.5,Sindhupalchowk
2015-04-29,15:24:00,27.86,84.89,POINT(84.89 27.86),4.5,Dhading
2015-05-27,13:15:00,27.91,85.53,POINT(85.53 27.91),4.5,Sindhupalchowk
2015-04-29,13:17:00,28.04,85.37,POINT(85.37 28.04),4,Nuwakot
2015-04-29,05:54:00,27.79,85.14,POINT(85.14 27.79),4.2,Nuwakot
2015-04-29,04:49:00,27.93,85.63,POINT(85.63 27.93),4,Sindhupalchowk
2015-04-28,22:07:00,28.2,84.78,POINT(84.78 28.2),4,Gorkha
2015-04-28,17:03:00,27.88,85.88,POINT(85.88 27.88),4.2,Sindhupalchowk
2015-04-28,16:44:00,27.78,85.17,POINT(85.17 27.78),4,Nuwakot
2015-04-28,15:10:00,27.83,85.83,POINT(85.83 27.83),4,Sindhupalchowk
2015-04-28,12:08:00,27.96,85.55,POINT(85.55 27.96),4,Sindhupalchowk
2015-04-28,08:40:00,27.76,85.8,POINT(85.8 27.76),4,Sindhupalchowk
2015-04-28,07:45:00,27.81,86.09,POINT(86.09 27.81),4.2,Dolakha
2015-05-30,22:13:00,27.79,85.17,POINT(85.17 27.79),4.5,Nuwakot
2015-05-27,12:03:00,27.59,86.2,POINT(86.2 27.59),4.2,Dolakha
2015-04-28,05:05:00,28.1,85.49,POINT(85.49 28.1),4.9,Rasuwa/Sindhupalchowk
2015-04-28,04:11:00,28.1,84.65,POINT(84.65 28.1),4.2,Gorkha
2015-04-28,03:12:00,27.89,85.76,POINT(85.76 27.89),4.2,Sindhupalchowk
2015-04-28,02:59:00,27.92,85.51,POINT(85.51 27.92),4.2,Sindhupalchowk
2015-04-28,00:44:00,28.29,84.93,POINT(84.93 28.29),4.8,Gorkha/Dhading
2015-04-27,23:30:00,28.19,85.03,POINT(85.03 28.19),4,Dhading
2015-04-27,22:39:00,27.82,85.89,POINT(85.89 27.82),4.2,Sindhupalchowk
2015-04-27,21:36:00,27.67,85.29,POINT(85.29 27.67),4.5,Kathmandu
2015-04-27,15:17:00,27.8,85.12,POINT(85.12 27.8),4,Nuwakot
2015-04-27,10:05:00,27.93,85.86,POINT(85.86 27.93),4,Sindhupalchowk
2015-05-26,22:52:00,28.02,85.26,POINT(85.26 28.02),5,Rasuwa
2015-04-27,09:59:00,28.24,85.23,POINT(85.23 28.24),4.3,Rasuwa
2015-04-27,08:18:00,27.67,85.55,POINT(85.55 27.67),4.2,Kavrepalanchowk
2015-04-27,06:24:00,27.77,85.12,POINT(85.12 27.77),4.7,Nuwakot
2015-04-27,04:27:00,27.82,85.76,POINT(85.76 27.82),4.4,Sindhupalchowk
2015-04-27,04:17:00,27.57,85.74,POINT(85.74 27.57),4.5,Kavrepalanchowk
2015-04-27,04:15:00,27.56,85.73,POINT(85.73 27.56),4.2,Kavrepalanchowk
2015-04-27,03:37:00,27.75,85.2,POINT(85.2 27.75),4.1,Kathmandu
2015-04-27,00:39:00,28.26,85.1,POINT(85.1 28.26),4.5,Rasuwa
2015-04-26,23:51:00,27.91,85.55,POINT(85.55 27.91),4.2,Sindhupalchowk
2015-04-26,22:42:00,27.83,86.06,POINT(86.06 27.83),4,Dolakha Sindhupalchowk
2015-05-26,20:00:00,27.54,85.43,POINT(85.43 27.54),4.3,Lalitpur/Kavre
2015-04-26,22:10:00,27.95,85.87,POINT(85.87 27.95),5.3,Sindhupalchowk
2015-04-26,22:08:00,27.67,85.3,POINT(85.3 27.67),4,Kathmandu
